contract_id,language,clause_id,clause_text,label,clause_text_clean
C001,ar,1.a,يعين صاحب العمل الموظف بموجب هذا العقد للعمل لديه بوظيفة محددة، ويوافق الموظف على أداء واجبات الوظيفة وأي مهام أخرى يكلفه بها صاحب العمل.,duties,يعين صاحب العمل الموظف بموجب هذا العقد للعمل لديه بوظيفة محددة، ويوافق الموظف علي اداء واجبات الوظيفة واي مهام اخري يكلفه بها صاحب العمل.
C001,en,1.a,The Employer hereby engages the Employee to work in a specified position and the Employee agrees to perform the job duties and any additional tasks assigned.,duties,The Employer hereby engages the Employee to work in a specified position and the Employee agrees to perform the job duties and any additional tasks assigned.
C001,ar,1.b,يخضع التوظيف لاجتياز الفحص الطبي والحصول على موافقات وزارة التعليم والالتحاق بالعمل في التاريخ المحدد.,general,يخضع التوظيف لاجتياز الفحص الطبي والحصول علي موافقات وزارة التعليم والالتحاق بالعمل في التاريخ المحدد.
C001,en,1.b,"Employment is conditional upon medical clearance, required approvals from the Ministry of Education, and reporting to work by the specified date.",general,"Employment is conditional upon medical clearance, required approvals from the Ministry of Education, and reporting to work by the specified date."
C001,ar,2.a,الراتب الشهري الأساسي للموظف محدد بالريال السعودي ويشمل جميع أيام الشهر بما فيها العطل الرسمية.,salary_terms,الراتب الشهري الاساسي للموظف محدد بالريال السعودي ويشمل جميع ايام الشهر بما فيها العطل الرسمية.
C001,en,2.a,The Employee’s base monthly salary is fixed in Saudi Riyals and includes all days of the month including official holidays.,salary_terms,The Employee’s base monthly salary is fixed in Saudi Riyals and includes all days of the month including official holidays.
C001,ar,2.b,يتم صرف الراتب الشهري مع البدلات بعد خصم الاستقطاعات المستحقة في الأسبوع الأول من كل شهر.,salary_terms,يتم صرف الراتب الشهري مع البدلات بعد خصم الاستقطاعات المستحقة في الاسبوع الاول من كل شهر.
C001,en,2.b,The monthly salary plus allowances minus deductions shall be paid during the first week of each month.,salary_terms,The monthly salary plus allowances minus deductions shall be paid during the first week of each month.
C001,ar,4.1,يعتبر هذا العقد محدد المدة لمدة سنة ميلادية واحدة قابلة للتجديد.,contract_duration,يعتبر هذا العقد محدد المدة لمدة سنة ميلادية واحدة قابلة للتجديد.
C001,en,4.1,This contract is for a definite period of one Gregorian year and is renewable.,contract_duration,This contract is for a definite period of one Gregorian year and is renewable.
C001,ar,4.2,يكون الموظف تحت التجربة لمدة ثلاثة أشهر ويجوز تمديدها ويحق لصاحب العمل إنهاؤها دون إبداء أسباب.,probation,يكون الموظف تحت التجربة لمدة ثلاثة اشهر ويجوز تمديدها ويحق لصاحب العمل انهاوها دون ابداء اسباب.
C001,en,4.2,"The Employee shall be on probation for the first three months, which may be extended, and the Employer may terminate during probation without cause.",probation,"The Employee shall be on probation for the first three months, which may be extended, and the Employer may terminate during probation without cause."
C001,ar,5.1,يتعهد الموظف بالالتزام بسياسات وتعليمات صاحب العمل والأنظمة المعمول بها في المملكة.,duties,يتعهد الموظف بالالتزام بسياسات وتعليمات صاحب العمل والانظمة المعمول بها في المملكة.
C001,en,5.1,The Employee undertakes to comply with all Employer policies and applicable laws in the Kingdom.,duties,The Employee undertakes to comply with all Employer policies and applicable laws in the Kingdom.
C001,ar,6.1,يقر الموظف بعدم وجود أي تعارض مصالح أو اتفاقيات سابقة تتعارض مع هذا العقد.,duties,يقر الموظف بعدم وجود اي تعارض مصالح او اتفاقيات سابقة تتعارض مع هذا العقد.
C001,en,6.1,The Employee represents that no prior agreements exist that conflict with this Agreement.,duties,The Employee represents that no prior agreements exist that conflict with this Agreement.
C001,ar,8.1,يلتزم الموظف بالمحافظة على سرية المعلومات وعدم إفشائها أثناء أو بعد انتهاء الخدمة.,duties,يلتزم الموظف بالمحافظة علي سرية المعلومات وعدم افشايها اثناء او بعد انتهاء الخدمة.
C001,en,8.1,The Employee shall maintain confidentiality of all proprietary information during and after employment.,duties,The Employee shall maintain confidentiality of all proprietary information during and after employment.
C001,ar,9.1,يوافق الموظف على عدم منافسة الجامعة أثناء العمل ولمدة سنتين بعد انتهائه.,penalties,يوافق الموظف علي عدم منافسة الجامعة اثناء العمل ولمدة سنتين بعد انتهايه.
C001,en,9.1,The Employee agrees not to compete with the University during employment and for two years thereafter.,penalties,The Employee agrees not to compete with the University during employment and for two years thereafter.
C001,ar,11.1,تحدد ساعات العمل الأسبوعية ويجوز للجامعة تعديلها حسب مصلحة العمل.,working_hours,تحدد ساعات العمل الاسبوعية ويجوز للجامعة تعديلها حسب مصلحة العمل.
C001,en,11.1,Working hours per week are defined and may be adjusted by the University as required.,working_hours,Working hours per week are defined and may be adjusted by the University as required.
C001,ar,12.1,يستحق الموظف العطل الرسمية وفق نظام العمل السعودي مع تعويض عن العمل خلالها.,benefits,يستحق الموظف العطل الرسمية وفق نظام العمل السعودي مع تعويض عن العمل خلالها.
C001,en,12.1,The Employee is entitled to official holidays in accordance with Saudi Labor Law.,benefits,The Employee is entitled to official holidays in accordance with Saudi Labor Law.
C001,ar,13.1,يستحق الموظف إجازة سنوية مدفوعة الأجر وفق نظام العمل.,benefits,يستحق الموظف اجازة سنوية مدفوعة الاجر وفق نظام العمل.
C001,en,13.1,The Employee is entitled to paid annual leave in accordance with Saudi Labor Law.,benefits,The Employee is entitled to paid annual leave in accordance with Saudi Labor Law.
C001,ar,15.1,يلتزم صاحب العمل بتسجيل الموظف في التأمينات الاجتماعية.,benefits,يلتزم صاحب العمل بتسجيل الموظف في التامينات الاجتماعية.
C001,en,15.1,The Employer shall register the Employee with GOSI and pay required contributions.,benefits,The Employer shall register the Employee with GOSI and pay required contributions.
C001,ar,18.1,يحق لصاحب العمل إنهاء العقد دون تعويض في حال مخالفة المادة 80 من نظام العمل.,termination,يحق لصاحب العمل انهاء العقد دون تعويض في حال مخالفة المادة 80 من نظام العمل.
C001,en,18.1,The Employer may terminate the contract without compensation in accordance with Article 80 of Saudi Labor Law.,termination,The Employer may terminate the contract without compensation in accordance with Article 80 of Saudi Labor Law.
C001,ar,18.2,يستحق الموظف مكافأة نهاية الخدمة إذا كان مستحقاً لها وفق نظام العمل.,termination,يستحق الموظف مكافاة نهاية الخدمة اذا كان مستحقا لها وفق نظام العمل.
C001,en,18.2,"Upon termination, the Employee shall receive end-of-service benefits if eligible under the law.",termination,"Upon termination, the Employee shall receive end-of-service benefits if eligible under the law."
C001,ar,20.1,يخضع هذا العقد لأنظمة وقوانين المملكة العربية السعودية.,governing_law,يخضع هذا العقد لانظمة وقوانين المملكة العربية السعودية.
C001,en,20.1,This Agreement shall be governed by the laws of the Kingdom of Saudi Arabia.,governing_law,This Agreement shall be governed by the laws of the Kingdom of Saudi Arabia.
C002,en,1.01,Employer hereby employs employee and employee hereby accepts employment with employer as Senior QA/QC Inspector.,duties,Employer hereby employs employee and employee hereby accepts employment with employer as Senior QA/QC Inspector.
C002,en,1.02,"The employment period will commence from 30th April, 2020 for a duration of 36 months after which employment shall cease or be renewed by mutual agreement.",contract_duration,"The employment period will commence from 30th April, 2020 for a duration of 36 months after which employment shall cease or be renewed by mutual agreement."
C002,en,2.01,"Employee agrees to devote all of his time, attention and energy to the performance of employee's duties under this agreement.",duties,"Employee agrees to devote all of his time, attention and energy to the performance of employee's duties under this agreement."
C002,en,2.02,Employee shall strictly adhere to and obey all the rules and regulations now in effect or as subsequently modified by the employer.,duties,Employee shall strictly adhere to and obey all the rules and regulations now in effect or as subsequently modified by the employer.
C002,en,2.03,The employment shall continue only as long as the services rendered by the employee are satisfactory to the employer.,duties,The employment shall continue only as long as the services rendered by the employee are satisfactory to the employer.
C002,en,2.04,Employee warrants that entering into this agreement will not violate any agreement with third parties.,duties,Employee warrants that entering into this agreement will not violate any agreement with third parties.
C002,en,3.01,"The employer shall pay the employee a monthly basic salary of US$19,800 or equivalent depending on currency preference.",salary_terms,"The employer shall pay the employee a monthly basic salary of US$19,800 or equivalent depending on currency preference."
C002,en,3.02,"Housing shall be provided by the employer or a housing allowance of US$2,900 per month shall be paid.",benefits,"Housing shall be provided by the employer or a housing allowance of US$2,900 per month shall be paid."
C002,en,3.03,"The employer shall pay US$2,550 for personal effects shipment and excess baggage allowance.",benefits,"The employer shall pay US$2,550 for personal effects shipment and excess baggage allowance."
C002,en,3.04,The employer shall provide comprehensive health care for the employee and family during the term of the contract.,benefits,The employer shall provide comprehensive health care for the employee and family during the term of the contract.
C002,en,3.05,"Educational assistance benefits of US$2,380 per month shall be provided for family status contracts.",benefits,"Educational assistance benefits of US$2,380 per month shall be provided for family status contracts."
C002,en,4.01,The employee will be reimbursed for reasonable moving expenses incurred as a result of relocation.,benefits,The employee will be reimbursed for reasonable moving expenses incurred as a result of relocation.
C002,en,5.01,Normal working hours shall be Sunday to Thursday from 7:30am to 4:30pm excluding public holidays.,working_hours,Normal working hours shall be Sunday to Thursday from 7:30am to 4:30pm excluding public holidays.
C002,en,5.02,Employee may be required to work additional hours as reasonably necessary and shall receive additional remuneration.,working_hours,Employee may be required to work additional hours as reasonably necessary and shall receive additional remuneration.
C002,en,6.01,The job title does not limit the work which the employee may be required to perform.,duties,The job title does not limit the work which the employee may be required to perform.
C002,en,7.01,Employment shall continue until terminated by notice or under the employerâ€™s disciplinary procedures.,termination,Employment shall continue until terminated by notice or under the employerâ€™s disciplinary procedures.
C002,en,8.01,The first three monthsâ€™ salary shall be paid in advance upon confirmation of work permit procurement.,salary_terms,The first three monthsâ€™ salary shall be paid in advance upon confirmation of work permit procurement.
C002,en,9.01,Employee shall be entitled to paid vacation of four weeks twice yearly subject to employer approval.,benefits,Employee shall be entitled to paid vacation of four weeks twice yearly subject to employer approval.
C002,en,10.01,The contract is subject to a probation period of three months based on performance.,probation,The contract is subject to a probation period of three months based on performance.
C002,en,10.02,"In the event of termination, the employee shall be entitled only to compensation accrued prior to termination.",termination,"In the event of termination, the employee shall be entitled only to compensation accrued prior to termination."
C002,en,11.01,"All records, documents, and trade secrets obtained during employment remain the exclusive property of the employer.",duties,"All records, documents, and trade secrets obtained during employment remain the exclusive property of the employer."
C002,en,11.02,Employee shall not disclose or misuse any trade secrets during or after employment.,duties,Employee shall not disclose or misuse any trade secrets during or after employment.
C002,en,12.01,Any notices between the parties shall be delivered in writing either personally or by registered mail.,general,Any notices between the parties shall be delivered in writing either personally or by registered mail.
C002,en,13.01,"If the employee is unable to perform duties due to illness for more than four weeks, compensation may be reduced.",general,"If the employee is unable to perform duties due to illness for more than four weeks, compensation may be reduced."
C002,en,15.01,The employer may terminate this agreement without cause upon 30 daysâ€™ written notice.,termination,The employer may terminate this agreement without cause upon 30 daysâ€™ written notice.
C002,en,15.02,The employee may terminate employment upon 30 daysâ€™ written notice but shall not receive severance allowance.,termination,The employee may terminate employment upon 30 daysâ€™ written notice but shall not receive severance allowance.
C002,en,17.01,This agreement shall be governed by and construed in accordance with the laws of the Kingdom of Saudi Arabia.,governing_law,This agreement shall be governed by and construed in accordance with the laws of the Kingdom of Saudi Arabia.
C003,ar,1.1,يتم إبرام هذا العقد بين الطرفين ويُعد ما ورد في مقدمته جزءًا لا يتجزأ منه.,general,يتم ابرام هذا العقد بين الطرفين ويعد ما ورد في مقدمته جزءا لا يتجزا منه.
C003,en,1.1,This agreement is concluded between the two parties and the preamble forms an integral part thereof.,general,This agreement is concluded between the two parties and the preamble forms an integral part thereof.
C003,ar,2.1,يسري هذا العقد لمدة غير محددة اعتبارًا من تاريخ مباشرة العمل في 01/09/2022.,contract_duration,يسري هذا العقد لمدة غير محددة اعتبارا من تاريخ مباشرة العمل في 01/09/2022.
C003,en,2.1,This contract shall be effective for an indefinite period starting from the joining date of 01/09/2022.,contract_duration,This contract shall be effective for an indefinite period starting from the joining date of 01/09/2022.
C003,ar,3.1,تكون أيام العمل خمسة أيام في الأسبوع وساعات العمل اليومية ثماني ساعات.,working_hours,تكون ايام العمل خمسة ايام في الاسبوع وساعات العمل اليومية ثماني ساعات.
C003,en,3.1,Working days shall be five days per week and daily working hours shall be eight hours.,working_hours,Working days shall be five days per week and daily working hours shall be eight hours.
C003,ar,4.1,يستحق الطرف الثاني إجازة سنوية مدفوعة الأجر مدتها ثلاثون يومًا تقويميًا.,benefits,يستحق الطرف الثاني اجازة سنوية مدفوعة الاجر مدتها ثلاثون يوما تقويميا.
C003,en,4.1,The second party shall be entitled to a paid annual leave of thirty calendar days.,benefits,The second party shall be entitled to a paid annual leave of thirty calendar days.
C003,ar,5.1,"يستحق الطرف الثاني راتبًا أساسيًا شهريًا قدره 14,000 ريال سعودي.",salary_terms,"يستحق الطرف الثاني راتبا اساسيا شهريا قدره 14,000 ريال سعودي."
C003,en,5.1,"The second party shall receive a basic monthly salary of SAR 14,000.",salary_terms,"The second party shall receive a basic monthly salary of SAR 14,000."
C003,ar,7.1,يلتزم الطرف الأول بتوفير الرعاية الصحية وتسجيل الطرف الثاني في التأمينات الاجتماعية.,benefits,يلتزم الطرف الاول بتوفير الرعاية الصحية وتسجيل الطرف الثاني في التامينات الاجتماعية.
C003,en,7.1,The first party shall provide health care and register the second party with GOSI.,benefits,The first party shall provide health care and register the second party with GOSI.
C003,ar,8.1,يلتزم الطرف الثاني بأداء العمل المكلف به والالتزام بتعليمات وأنظمة العمل.,duties,يلتزم الطرف الثاني باداء العمل المكلف به والالتزام بتعليمات وانظمة العمل.
C003,en,8.1,The second party shall perform assigned duties and comply with work instructions and regulations.,duties,The second party shall perform assigned duties and comply with work instructions and regulations.
C003,ar,9.1,يخضع هذا العقد لنظام العمل السعودي ولائحته التنفيذية.,governing_law,يخضع هذا العقد لنظام العمل السعودي ولايحته التنفيذية.
C003,en,9.1,This contract shall be governed by Saudi Labor Law and its executive regulations.,governing_law,This contract shall be governed by Saudi Labor Law and its executive regulations.
C004,ar,1.1,يسر الشركة دعوتكم للانضمام إلى فريق العمل بوظيفة محددة وفق الشروط الواردة أدناه.,duties,يسر الشركة دعوتكم للانضمام الي فريق العمل بوظيفة محددة وفق الشروط الواردة ادناه.
C004,en,1.1,The company is pleased to invite you to join the team in a specified position under the following terms.,duties,The company is pleased to invite you to join the team in a specified position under the following terms.
C004,ar,2.1,تكون مدة العقد ستة أشهر قابلة للتجديد بموافقة الطرفين.,contract_duration,تكون مدة العقد ستة اشهر قابلة للتجديد بموافقة الطرفين.
C004,en,2.1,"The contract term shall be six months, renewable upon mutual agreement.",contract_duration,"The contract term shall be six months, renewable upon mutual agreement."
C004,ar,3.1,"يستحق الموظف راتبًا شهريًا أساسيًا قدره 1,800 ريال سعودي.",salary_terms,"يستحق الموظف راتبا شهريا اساسيا قدره 1,800 ريال سعودي."
C004,en,3.1,"The employee shall receive a basic monthly salary of SAR 1,800.",salary_terms,"The employee shall receive a basic monthly salary of SAR 1,800."
C004,ar,4.1,يستحق الموظف إجازة سنوية مدفوعة الأجر وفق أنظمة الشركة.,benefits,يستحق الموظف اجازة سنوية مدفوعة الاجر وفق انظمة الشركة.
C004,en,4.1,The employee shall be entitled to paid annual leave according to company policy.,benefits,The employee shall be entitled to paid annual leave according to company policy.
C004,ar,5.1,توفر الشركة للموظف تأمينًا صحيًا طوال مدة العقد.,benefits,توفر الشركة للموظف تامينا صحيا طوال مدة العقد.
C004,en,5.1,The company shall provide the employee with health insurance for the duration of the contract.,benefits,The company shall provide the employee with health insurance for the duration of the contract.
C004,ar,6.1,يلتزم الموظف بالالتزام بكافة سياسات وأنظمة الشركة.,duties,يلتزم الموظف بالالتزام بكافة سياسات وانظمة الشركة.
C004,en,6.1,The employee must comply with all company policies and regulations.,duties,The employee must comply with all company policies and regulations.
C004,ar,7.1,يجوز لأي من الطرفين إنهاء العقد بإشعار خطي مسبق مدته شهر واحد.,termination,يجوز لاي من الطرفين انهاء العقد باشعار خطي مسبق مدته شهر واحد.
C004,en,7.1,Either party may terminate the contract with one month prior written notice.,termination,Either party may terminate the contract with one month prior written notice.
C005,ar,0.1,عقد عمل إلكتروني عبر منصة قوى تحت إشراف وزارة الموارد البشرية والتنمية الاجتماعية بالمملكة العربية السعودية.,general,عقد عمل الكتروني عبر منصة قوي تحت اشراف وزارة الموارد البشرية والتنمية الاجتماعية بالمملكة العربية السعودية.
C005,en,0.1,An electronic employment contract issued via Qiwa under the supervision of the Ministry of Human Resources and Social Development in the Kingdom of Saudi Arabia.,general,An electronic employment contract issued via Qiwa under the supervision of the Ministry of Human Resources and Social Development in the Kingdom of Saudi Arabia.
C005,ar,0.2,أطراف العقد: الطرف الأول [EMPLOYER] والطرف الثاني [EMPLOYEE]، وتم استبدال البيانات الشخصية بمعرّفات بديلة لأغراض البيانات.,general,اطراف العقد: الطرف الاول [EMPLOYER] والطرف الثاني [EMPLOYEE]، وتم استبدال البيانات الشخصية بمعرفات بديلة لاغراض البيانات.
C005,en,0.2,Contract parties: First Party [EMPLOYER] and Second Party [EMPLOYEE]. Personal identifiers are replaced with placeholders for dataset use.,general,Contract parties: First Party [EMPLOYER] and Second Party [EMPLOYEE]. Personal identifiers are replaced with placeholders for dataset use.
C005,ar,1.1,اتفق الطرفان على أن يعمل الطرف الثاني لدى الطرف الأول تحت إدارته وإشرافه بوظيفة عامل تنظيف مركبات وأعمال مماثلة وفق ما يُكلّف به.,duties,اتفق الطرفان علي ان يعمل الطرف الثاني لدي الطرف الاول تحت ادارته واشرافه بوظيفة عامل تنظيف مركبات واعمال مماثلة وفق ما يكلف به.
C005,en,1.1,The parties agree that the Second Party will work for the First Party under its management and supervision in the role of vehicle cleaner (and similar duties) as assigned.,duties,The parties agree that the Second Party will work for the First Party under its management and supervision in the role of vehicle cleaner (and similar duties) as assigned.
C005,ar,1.2,يؤدي الطرف الثاني العمل بما يتناسب مع قدراته وبما لا يتعارض مع أحكام نظام العمل.,duties,يودي الطرف الثاني العمل بما يتناسب مع قدراته وبما لا يتعارض مع احكام نظام العمل.
C005,en,1.2,The Second Party shall perform assigned work in line with their capabilities and in a manner consistent with Saudi Labor Law.,duties,The Second Party shall perform assigned work in line with their capabilities and in a manner consistent with Saudi Labor Law.
C005,ar,2.1,مدة العقد أربع سنوات تبدأ من 21-01-2020 وتنتهي في 20-01-2024، وتاريخ المباشرة 21-01-2020.,contract_duration,مدة العقد اربع سنوات تبدا من 21-01-2020 وتنتهي في 20-01-2024، وتاريخ المباشرة 21-01-2020.
C005,en,2.1,"The contract duration is four years starting on 21-01-2020 and ending on 20-01-2024, with the joining date on 21-01-2020.",contract_duration,"The contract duration is four years starting on 21-01-2020 and ending on 20-01-2024, with the joining date on 21-01-2020."
C005,ar,2.2,يتجدد العقد تلقائيًا لمدة مماثلة ما لم يخطر أحد الطرفين الآخر كتابة بعدم الرغبة في التجديد قبل 30 يومًا من تاريخ الانتهاء.,contract_duration,يتجدد العقد تلقاييا لمدة مماثلة ما لم يخطر احد الطرفين الاخر كتابة بعدم الرغبة في التجديد قبل 30 يوما من تاريخ الانتهاء.
C005,en,2.2,The contract renews for a similar period unless either party notifies the other in writing of unwillingness to renew at least 30 days before expiry.,contract_duration,The contract renews for a similar period unless either party notifies the other in writing of unwillingness to renew at least 30 days before expiry.
C005,ar,2.3,فترة التجربة للطرف الثاني 0 يوم وتبدأ من تاريخ مباشرة العمل، ولا تدخل الإجازات في احتسابها.,probation,فترة التجربة للطرف الثاني 0 يوم وتبدا من تاريخ مباشرة العمل، ولا تدخل الاجازات في احتسابها.
C005,en,2.3,The Second Party is subject to a probation period of 0 days starting from the commencement date; leave/holidays are not included in the calculation.,probation,The Second Party is subject to a probation period of 0 days starting from the commencement date; leave/holidays are not included in the calculation.
C005,ar,3.1,ساعات العمل 48 ساعة أسبوعيًا، ويستحق الطرف الثاني أجرًا إضافيًا عن الساعات الإضافية يعادل الأجر بالساعة + 50% من الأجر الأساسي.,working_hours,ساعات العمل 48 ساعة اسبوعيا، ويستحق الطرف الثاني اجرا اضافيا عن الساعات الاضافية يعادل الاجر بالساعة + 50% من الاجر الاساسي.
C005,en,3.1,Working hours are set to 48 hours per week. The Second Party is entitled to overtime pay equal to the hourly wage plus 50% of the basic wage.,working_hours,Working hours are set to 48 hours per week. The Second Party is entitled to overtime pay equal to the hourly wage plus 50% of the basic wage.
C005,ar,4.1,يدفع الطرف الأول للطرف الثاني أجرًا أساسيًا قدره 400 ريال سعودي شهريًا ويستحق في نهاية كل شهر.,salary_terms,يدفع الطرف الاول للطرف الثاني اجرا اساسيا قدره 400 ريال سعودي شهريا ويستحق في نهاية كل شهر.
C005,en,4.1,"The First Party pays the Second Party a basic wage of SAR 400 per month, due at the end of each month.",salary_terms,"The First Party pays the Second Party a basic wage of SAR 400 per month, due at the end of each month."
C005,ar,4.2,يلتزم الطرف الأول بتوفير سكن مناسب طوال مدة العقد.,benefits,يلتزم الطرف الاول بتوفير سكن مناسب طوال مدة العقد.
C005,en,4.2,The First Party commits to providing adequate housing throughout the contract period.,benefits,The First Party commits to providing adequate housing throughout the contract period.
C005,ar,4.3,يلتزم الطرف الأول بتوفير وسيلة نقل مناسبة من السكن إلى مقر العمل.,benefits,يلتزم الطرف الاول بتوفير وسيلة نقل مناسبة من السكن الي مقر العمل.
C005,en,4.3,The First Party commits to providing appropriate transportation from residence to workplace.,benefits,The First Party commits to providing appropriate transportation from residence to workplace.
C005,ar,4.4,"يدفع الطرف الأول بدلًا/مخصصات أخرى قدرها 1,596 ريال سعودي شهريًا تُصرف في نهاية كل شهر.",salary_terms,"يدفع الطرف الاول بدلا/مخصصات اخري قدرها 1,596 ريال سعودي شهريا تصرف في نهاية كل شهر."
C005,en,4.4,"The First Party pays other allowances of SAR 1,596 per month, payable at the end of each month.",salary_terms,"The First Party pays other allowances of SAR 1,596 per month, payable at the end of each month."
C005,ar,5.1,يستحق الطرف الثاني إجازة سنوية مدفوعة الأجر مدتها 21 يومًا عن كل سنة، ويحدد الطرف الأول مواعيدها وفق ظروف العمل.,benefits,يستحق الطرف الثاني اجازة سنوية مدفوعة الاجر مدتها 21 يوما عن كل سنة، ويحدد الطرف الاول مواعيدها وفق ظروف العمل.
C005,en,5.1,The Second Party is entitled to a paid annual leave of 21 days per year; dates are determined by the First Party according to work conditions.,benefits,The Second Party is entitled to a paid annual leave of 21 days per year; dates are determined by the First Party according to work conditions.
C005,ar,5.2,يجوز تأجيل الإجازة وفق متطلبات العمل وبما لا يتجاوز المدد المنصوص عليها.,benefits,يجوز تاجيل الاجازة وفق متطلبات العمل وبما لا يتجاوز المدد المنصوص عليها.
C005,en,5.2,Annual leave may be postponed in line with work requirements within the limits stated.,benefits,Annual leave may be postponed in line with work requirements within the limits stated.
C005,ar,6.1,يلتزم الطرف الأول بتوفير الرعاية الطبية للطرف الثاني عبر التأمين الصحي وفق نظام الضمان الصحي التعاوني.,benefits,يلتزم الطرف الاول بتوفير الرعاية الطبية للطرف الثاني عبر التامين الصحي وفق نظام الضمان الصحي التعاوني.
C005,en,6.1,The First Party shall provide medical care/health insurance in accordance with the Cooperative Health Insurance system.,benefits,The First Party shall provide medical care/health insurance in accordance with the Cooperative Health Insurance system.
C005,ar,6.2,يلتزم الطرف الأول بسداد اشتراكات التأمينات الاجتماعية وفق الأنظمة.,benefits,يلتزم الطرف الاول بسداد اشتراكات التامينات الاجتماعية وفق الانظمة.
C005,en,6.2,The First Party is obligated to pay GOSI contributions in accordance with regulations.,benefits,The First Party is obligated to pay GOSI contributions in accordance with regulations.
C005,ar,6.3,يتحمل الطرف الأول رسوم الاستقدام/نقل الخدمة ورسوم الإقامة ورخصة العمل وتجديدها والغرامات الناتجة عنها ورسوم الخروج والعودة وتذكرة العودة بعد انتهاء العلاقة.,benefits,يتحمل الطرف الاول رسوم الاستقدام/نقل الخدمة ورسوم الاقامة ورخصة العمل وتجديدها والغرامات الناتجة عنها ورسوم الخروج والعودة وتذكرة العودة بعد انتهاء العلاقة.
C005,en,6.3,"The First Party bears fees related to recruitment/transfer, residency fees, work permit and renewals, related fines, exit/re-entry fees, and the return ticket upon end of employment (as applicable).",benefits,"The First Party bears fees related to recruitment/transfer, residency fees, work permit and renewals, related fines, exit/re-entry fees, and the return ticket upon end of employment (as applicable)."
C005,ar,7.1,يلتزم الطرف الثاني بأداء العمل وفق أصول المهنة واتباع تعليمات الطرف الأول ما لم تخالف العقد أو النظام أو الآداب العامة.,duties,يلتزم الطرف الثاني باداء العمل وفق اصول المهنة واتباع تعليمات الطرف الاول ما لم تخالف العقد او النظام او الاداب العامة.
C005,en,7.1,"The Second Party shall perform work per professional principles and follow the First Party’s instructions unless they contradict the contract, the law, or public morals.",duties,"The Second Party shall perform work per professional principles and follow the First Party’s instructions unless they contradict the contract, the law, or public morals."
C005,ar,7.2,يلتزم الطرف الثاني بالمحافظة على أدوات وممتلكات الطرف الأول وإعادتها وعدم التصرف فيها.,duties,يلتزم الطرف الثاني بالمحافظة علي ادوات وممتلكات الطرف الاول واعادتها وعدم التصرف فيها.
C005,en,7.2,"The Second Party shall take proper care of the First Party’s tools/property and return them, without disposing of them.",duties,"The Second Party shall take proper care of the First Party’s tools/property and return them, without disposing of them."
C005,ar,7.3,يقدم الطرف الثاني المساعدة والدعم دون طلب أجر إضافي في الحالات التي تهدد سلامة مكان العمل أو العاملين.,duties,يقدم الطرف الثاني المساعدة والدعم دون طلب اجر اضافي في الحالات التي تهدد سلامة مكان العمل او العاملين.
